text,intent,response
hi,greeting,
hello,greeting,
hey,greeting,
good morning,greeting,
good afternoon,greeting,
good evening,greeting,
kumusta,greeting,
kumusta ka,greeting,
musta,greeting,
hi smartour,greeting,
hello there,greeting,
help,help,
what can you do,help,
how do i use this,help,
what are your commands,help,
show me the features,help,
what can you help me with,help,
how does this work,help,
ano ang kaya mong gawin,help,
what are your capabilities,help,
what are the best places to visit,recommend,
suggest some tourist spots,recommend,
recommend heritage spots,recommend,
where should i go in ilocos sur,recommend,
what to see in vigan,recommend,
best beaches in ilocos sur,recommend,
family friendly places,recommend,
top spots to visit,recommend,
must see places in vigan,recommend,
any nature spots near vigan,recommend,
saan maganda pumunta,recommend,
recommend places for food,recommend,
give me adventure spots,recommend,
where can i bring my kids,recommend,
best to go on vigan,recommend,
best places to go in vigan city,recommend,
best things to do in vigan,recommend,
what to do in vigan city ilocos sur,recommend,
where should i go in vigan,recommend,
recommend places in vigan,recommend,
must visit spots in vigan city,recommend,
top places to visit in ilocos sur,recommend,
what are the best spots in vigan,recommend,
places to go in ilocos sur,recommend,
saan maganda sa vigan,recommend,
ano ang magandang puntahan sa vigan,recommend,
best heritage spots in vigan,recommend,
best beaches near vigan,recommend,
tell me about calle crisologo,describe,
what is bantay church,describe,
describe baluarte,describe,
information about pinsal falls,describe,
tell me about sta maria church,describe,
details about vigan cathedral,describe,
what can you tell me about syquia mansion,describe,
tell me about burnay pottery,describe,
what is mindoro beach like,describe,
tell me about plaza salcedo,describe,
ano ang calle crisologo,describe,
give me info about unp,describe,
paano pumunta sa unp,describe,
paano pumunta sa calle crisologo,describe,
paano pumunta sa bantay church,describe,
paano makarating sa plaza salcedo,describe,
how to get to unp,describe,
how do i get to vigan cathedral,describe,
how to go to baluarte,describe,
how to reach pinsal falls,describe,
directions to sta maria church,describe,
how much is fuel from vigan to bantay,fuel_cost,
gas estimate from calle crisologo to unp using a sedan,fuel_cost,
fuel cost from vigan to santa maria using a suv,fuel_cost,
how many liters do i need from vigan to santa,fuel_cost,
magkano ang gas from vigan to bantay,fuel_cost,
fuel consumption from calle crisologo to baluarte,fuel_cost,
how much does it cost to travel from bantay to vigan by car,fuel_cost,
diesel estimate from vigan to mindoro beach with a pickup,fuel_cost,
estimate gas money from unp to plaza salcedo,fuel_cost,
how much gas do i need for a trip from vigan to bantay,fuel_cost,
how far is bantay church from vigan cathedral,distance,
distance between calle crisologo and unp,distance,
how many km from vigan to santa maria,distance,
gaano kalayo ang vigan sa bantay,distance,
distance from baluarte to mindoro beach,distance,
how far is pinsal falls from vigan,distance,
kilometers from plaza salcedo to syquia mansion,distance,
how long is the trip from vigan to sta maria,distance,
what is the distance between calle crisologo and baluarte,distance,
what is the weather today,unknown,
play some music,unknown,
tell me a joke,unknown,
who won the election,unknown,
book me a flight to manila,unknown,
translate this to spanish,unknown,
what is 2 plus 2,unknown,
recommend a movie,unknown,
can you write code for me,unknown,
what time is it in tokyo,unknown,
