spot_id,name,category,description,latitude,longitude,city
1,Calle Crisologo,historical,"A well-preserved Spanish colonial street lined with cobblestones and ancestral houses, popular for walking tours, calesa rides, and photography at night when the old lamps light up.",17.5747,120.3869,Vigan
2,Bantay Bell Tower,historical,"An old stone watchtower and bell tower near Vigan, offering panoramic views of the surrounding rice fields and mountains, quiet and less crowded than the city center.",17.5891,120.3897,Bantay
3,Baluarte Zoo,nature,"A wildlife sanctuary and mini zoo established by a former governor, home to exotic animals like tigers, camels, and various birds, popular for family day trips.",17.5820,120.3780,Vigan
4,Pagburnayan Pottery Site,historical,"A traditional pottery-making site where artisans still craft clay jars using centuries-old techniques, great for cultural tours and hands-on pottery experience.",17.5701,120.3852,Vigan
5,Vigan Public Plaza,historical,"A historic town square surrounded by heritage buildings and the Vigan Cathedral, a peaceful spot for an evening stroll and people-watching.",17.5745,120.3878,Vigan
6,Mindoro Beach,beach,"A quiet, less commercialized beach with calm waters and fine sand, ideal for a relaxing peaceful getaway away from crowded tourist beaches.",17.6120,120.4210,Cabugao
7,Pinsal Falls,nature,"A scenic multi-tiered waterfall surrounded by lush greenery, popular for swimming, cliff diving, and picnics, requires a short trek to reach.",17.3450,120.5210,Sta. Maria
8,Manalo Falls,nature,"A hidden waterfall accessible via a short hike, known for its cool clear water and peaceful surroundings, a favorite among adventure and nature seekers.",17.3600,120.5100,Sta. Maria
9,Salomague Port View,nature,"A scenic coastal viewpoint near the port area with dramatic cliffs and ocean views, a good spot for sunset watching and photography.",17.6500,120.4550,Cabugao
10,Sabang Beach,beach,"A long stretch of beach popular with locals for swimming and weekend gatherings, with nearby food stalls selling grilled seafood.",17.6050,120.4180,Cabugao
11,Magsingal Museum,historical,"A local heritage museum showcasing artifacts, old photographs, and relics from the town's history, ideal for a short educational visit.",17.6280,120.3980,Magsingal
12,Chavit Singson Ancestral House,historical,"A grand ancestral house showcasing colonial architecture and family heirlooms, offering a glimpse into the lifestyle of old Ilocano elite families.",17.5735,120.3860,Vigan
13,Bantay Church and Tower,historical,"A centuries old church paired with its iconic watchtower, one of the most photographed heritage landmarks in the province.",17.5893,120.3899,Bantay
14,Kapurpurawan Rock Formation,nature,"Not in Vigan but a famous white rock formation on the coast known for dramatic wind-and-wave-carved shapes, popular for scenic photography.",18.4870,120.5310,Burgos
15,Lingsat Public Market Food Row,food,"A bustling local market area known for authentic Ilocano street food like empanada, okoy, and bagnet, best visited in the late afternoon.",17.5760,120.3855,Vigan
16,Café Leona,food,"A cozy heritage-style cafe inside Calle Crisologo serving Ilocano dishes and coffee, popular for its ambient old-world interior.",17.5748,120.3868,Vigan
17,Grandpa's Inn Restaurant,food,"A well-known local restaurant serving traditional Ilocano cuisine such as pinakbet and bagnet, a favorite stop for tourists after heritage tours.",17.5730,120.3845,Vigan
18,Cafe Uno Vigan,food,"A casual dining spot known for local and Filipino comfort food, popular with both tourists and locals for lunch and merienda.",17.5755,120.3872,Vigan
19,Bantay Camarin Bagnet House,food,"A local eatery specializing in crispy bagnet and other Ilocano delicacies, a go-to spot for authentic regional flavors.",17.5885,120.3890,Bantay
20,Mestizo Restaurant,food,"An upscale restaurant near Calle Crisologo offering Ilocano and Filipino fusion dishes in a heritage-inspired setting.",17.5742,120.3865,Vigan      
